instance,algo,n,L,obj,time_ms,status,result_file,message
tspd-1-center-04,dp,8,NA,185.991,1,OPTIMAL,experiments\dp-tspd-1-center-04.txt,
tspd-1-center-04,rdp,8,1,185.991,0,FEASIBLE,experiments\rdp-tspd-1-center-04-L1.txt,
tspd-1-center-04,rdp,8,2,185.991,0,FEASIBLE,experiments\rdp-tspd-1-center-04-L2.txt,
tspd-1-center-04,rdp,8,3,185.991,1,FEASIBLE,experiments\rdp-tspd-1-center-04-L3.txt,
tspd-1-center-04,rdp,8,4,185.991,1,FEASIBLE,experiments\rdp-tspd-1-center-04-L4.txt,
tspd-1-center-04,astar,8,NA,185.991,1,OPTIMAL,experiments\astar-tspd-1-center-04.txt,
tspd-1-center-04,astar,8,1,185.991,1,FEASIBLE,experiments\astar-tspd-1-center-04-L1.txt,
tspd-1-center-04,astar,8,2,185.991,1,FEASIBLE,experiments\astar-tspd-1-center-04-L2.txt,
tspd-1-center-04,astar,8,3,185.991,1,FEASIBLE,experiments\astar-tspd-1-center-04-L3.txt,
tspd-1-center-04,astar,8,4,185.991,1,FEASIBLE,experiments\astar-tspd-1-center-04-L4.txt,
tspd-1-center-05,dp,10,NA,191.376,8,OPTIMAL,experiments\dp-tspd-1-center-05.txt,
tspd-1-center-05,rdp,10,1,191.376,3,FEASIBLE,experiments\rdp-tspd-1-center-05-L1.txt,
tspd-1-center-05,rdp,10,2,191.376,4,FEASIBLE,experiments\rdp-tspd-1-center-05-L2.txt,
tspd-1-center-05,rdp,10,3,191.376,6,FEASIBLE,experiments\rdp-tspd-1-center-05-L3.txt,
tspd-1-center-05,rdp,10,4,191.376,7,FEASIBLE,experiments\rdp-tspd-1-center-05-L4.txt,
tspd-1-center-05,astar,10,NA,191.376,13,OPTIMAL,experiments\astar-tspd-1-center-05.txt,
tspd-1-center-05,astar,10,1,191.376,6,FEASIBLE,experiments\astar-tspd-1-center-05-L1.txt,
tspd-1-center-05,astar,10,2,191.376,7,FEASIBLE,experiments\astar-tspd-1-center-05-L2.txt,
tspd-1-center-05,astar,10,3,191.376,9,FEASIBLE,experiments\astar-tspd-1-center-05-L3.txt,
tspd-1-center-05,astar,10,4,191.376,11,FEASIBLE,experiments\astar-tspd-1-center-05-L4.txt,
tspd-1-center-06,dp,12,NA,124.478,65,OPTIMAL,experiments\dp-tspd-1-center-06.txt,
tspd-1-center-06,rdp,12,1,124.478,24,FEASIBLE,experiments\rdp-tspd-1-center-06-L1.txt,
tspd-1-center-06,rdp,12,2,124.478,30,FEASIBLE,experiments\rdp-tspd-1-center-06-L2.txt,
tspd-1-center-06,rdp,12,3,124.478,42,FEASIBLE,experiments\rdp-tspd-1-center-06-L3.txt,
tspd-1-center-06,rdp,12,4,124.478,52,FEASIBLE,experiments\rdp-tspd-1-center-06-L4.txt,
tspd-1-center-06,astar,12,NA,124.478,96,OPTIMAL,experiments\astar-tspd-1-center-06.txt,
tspd-1-center-06,astar,12,1,124.478,44,FEASIBLE,experiments\astar-tspd-1-center-06-L1.txt,
tspd-1-center-06,astar,12,2,124.478,53,FEASIBLE,experiments\astar-tspd-1-center-06-L2.txt,
tspd-1-center-06,astar,12,3,124.478,64,FEASIBLE,experiments\astar-tspd-1-center-06-L3.txt,
tspd-1-center-06,astar,12,4,124.478,85,FEASIBLE,experiments\astar-tspd-1-center-06-L4.txt,
tspd-2-center-07,dp,8,NA,208.765,1,OPTIMAL,experiments\dp-tspd-2-center-07.txt,
tspd-2-center-07,rdp,8,1,211.207,0,FEASIBLE,experiments\rdp-tspd-2-center-07-L1.txt,
tspd-2-center-07,rdp,8,2,208.765,0,FEASIBLE,experiments\rdp-tspd-2-center-07-L2.txt,
tspd-2-center-07,rdp,8,3,208.765,1,FEASIBLE,experiments\rdp-tspd-2-center-07-L3.txt,
tspd-2-center-07,rdp,8,4,208.765,1,FEASIBLE,experiments\rdp-tspd-2-center-07-L4.txt,
tspd-2-center-07,astar,8,NA,208.765,1,OPTIMAL,experiments\astar-tspd-2-center-07.txt,
tspd-2-center-07,astar,8,1,211.207,1,FEASIBLE,experiments\astar-tspd-2-center-07-L1.txt,
tspd-2-center-07,astar,8,2,208.765,1,FEASIBLE,experiments\astar-tspd-2-center-07-L2.txt,
tspd-2-center-07,astar,8,3,208.765,1,FEASIBLE,experiments\astar-tspd-2-center-07-L3.txt,
tspd-2-center-07,astar,8,4,208.765,1,FEASIBLE,experiments\astar-tspd-2-center-07-L4.txt,
tspd-2-center-08,dp,10,NA,202.747,8,OPTIMAL,experiments\dp-tspd-2-center-08.txt,
tspd-2-center-08,rdp,10,1,202.747,3,FEASIBLE,experiments\rdp-tspd-2-center-08-L1.txt,
tspd-2-center-08,rdp,10,2,202.747,4,FEASIBLE,experiments\rdp-tspd-2-center-08-L2.txt,
tspd-2-center-08,rdp,10,3,202.747,6,FEASIBLE,experiments\rdp-tspd-2-center-08-L3.txt,
tspd-2-center-08,rdp,10,4,202.747,7,FEASIBLE,experiments\rdp-tspd-2-center-08-L4.txt,
tspd-2-center-08,astar,10,NA,202.747,15,OPTIMAL,experiments\astar-tspd-2-center-08.txt,
tspd-2-center-08,astar,10,1,202.747,7,FEASIBLE,experiments\astar-tspd-2-center-08-L1.txt,
tspd-2-center-08,astar,10,2,202.747,8,FEASIBLE,experiments\astar-tspd-2-center-08-L2.txt,
tspd-2-center-08,astar,10,3,202.747,10,FEASIBLE,experiments\astar-tspd-2-center-08-L3.txt,
tspd-2-center-08,astar,10,4,202.747,11,FEASIBLE,experiments\astar-tspd-2-center-08-L4.txt,
tspd-2-center-09,dp,12,NA,137.837,66,OPTIMAL,experiments\dp-tspd-2-center-09.txt,
tspd-2-center-09,rdp,12,1,137.837,21,FEASIBLE,experiments\rdp-tspd-2-center-09-L1.txt,
tspd-2-center-09,rdp,12,2,137.837,29,FEASIBLE,experiments\rdp-tspd-2-center-09-L2.txt,
tspd-2-center-09,rdp,12,3,137.837,43,FEASIBLE,experiments\rdp-tspd-2-center-09-L3.txt,
tspd-2-center-09,rdp,12,4,137.837,53,FEASIBLE,experiments\rdp-tspd-2-center-09-L4.txt,
tspd-2-center-09,astar,12,NA,137.837,92,OPTIMAL,experiments\astar-tspd-2-center-09.txt,
tspd-2-center-09,astar,12,1,137.837,43,FEASIBLE,experiments\astar-tspd-2-center-09-L1.txt,
tspd-2-center-09,astar,12,2,137.837,50,FEASIBLE,experiments\astar-tspd-2-center-09-L2.txt,
tspd-2-center-09,astar,12,3,137.837,67,FEASIBLE,experiments\astar-tspd-2-center-09-L3.txt,
tspd-2-center-09,astar,12,4,137.837,73,FEASIBLE,experiments\astar-tspd-2-center-09-L4.txt,
tspd-burma14-11,dp,14,NA,16.7863,704,OPTIMAL,experiments\dp-tspd-burma14-11.txt,
tspd-burma14-11,rdp,14,1,17.4282,153,FEASIBLE,experiments\rdp-tspd-burma14-11-L1.txt,
tspd-burma14-11,rdp,14,2,16.7863,229,FEASIBLE,experiments\rdp-tspd-burma14-11-L2.txt,
tspd-burma14-11,rdp,14,3,16.7863,339,FEASIBLE,experiments\rdp-tspd-burma14-11-L3.txt,
tspd-burma14-11,rdp,14,4,16.7863,466,FEASIBLE,experiments\rdp-tspd-burma14-11-L4.txt,
tspd-burma14-11,astar,14,NA,16.7863,766,OPTIMAL,experiments\astar-tspd-burma14-11.txt,
tspd-burma14-11,astar,14,1,17.4282,304,FEASIBLE,experiments\astar-tspd-burma14-11-L1.txt,
tspd-burma14-11,astar,14,2,16.7863,385,FEASIBLE,experiments\astar-tspd-burma14-11-L2.txt,
tspd-burma14-11,astar,14,3,16.7863,495,FEASIBLE,experiments\astar-tspd-burma14-11-L3.txt,
tspd-burma14-11,astar,14,4,16.7863,578,FEASIBLE,experiments\astar-tspd-burma14-11-L4.txt,
tspd-fsu.p01-10,dp,15,NA,198.275,2441,OPTIMAL,experiments\dp-tspd-fsu.p01-10.txt,
tspd-fsu.p01-10,rdp,15,1,198.275,455,FEASIBLE,experiments\rdp-tspd-fsu.p01-10-L1.txt,
tspd-fsu.p01-10,rdp,15,2,198.275,655,FEASIBLE,experiments\rdp-tspd-fsu.p01-10-L2.txt,
tspd-fsu.p01-10,rdp,15,3,198.275,1022,FEASIBLE,experiments\rdp-tspd-fsu.p01-10-L3.txt,
tspd-fsu.p01-10,rdp,15,4,198.275,1505,FEASIBLE,experiments\rdp-tspd-fsu.p01-10-L4.txt,
tspd-fsu.p01-10,astar,15,NA,198.275,2549,OPTIMAL,experiments\astar-tspd-fsu.p01-10.txt,
tspd-fsu.p01-10,astar,15,1,198.275,874,FEASIBLE,experiments\astar-tspd-fsu.p01-10-L1.txt,
tspd-fsu.p01-10,astar,15,2,198.275,1256,FEASIBLE,experiments\astar-tspd-fsu.p01-10-L2.txt,
tspd-fsu.p01-10,astar,15,3,198.275,1604,FEASIBLE,experiments\astar-tspd-fsu.p01-10-L3.txt,
tspd-fsu.p01-10,astar,15,4,198.275,1946,FEASIBLE,experiments\astar-tspd-fsu.p01-10-L4.txt,
tspd-ulysses16-12,dp,16,NA,37.2827,11704,OPTIMAL,experiments\dp-tspd-ulysses16-12.txt,
tspd-ulysses16-12,rdp,16,1,42.3401,1285,FEASIBLE,experiments\rdp-tspd-ulysses16-12-L1.txt,
